Index,Case_Name,i_h2i_rate,i_h2_temp,i_ngi_rate,i_ng_temp,i_pci_rate,i_wpi_rate,i_sgi_rate,i_sgi_COH2ratio,i_sgi_ReProRatio,i_o2_volfract,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,o_tuy_velo,o_tuy_temp,o_burn,o_fta,o_coke_rt,o_hmt,o_delp,o_tgt,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt
502,H2-0_PCI-120_WPI-0_NG-80_O2-27_NGT-300_H2T-0_HBT-1480_WR-195,0,0,80,300,120,0,0,0,0,27,1480,195,5.8,7,0,0,0,2.34E+03,3.29E+02,1033.13,1.02E+05,5.87E+01,2.32E-01,2.58E-01,7.26E-02,4.37E-01,5.27E+01,5.07E+01,2.31E+01,1.42E+01,51.249078,2.89E+02,6.24E+02,1.83E+03,2.44E+01,1.56E+01,5.13E+01,9.58E+03
503,H2-30_PCI-0_WPI-0_NG-0_O2-21_NGT-0_H2T-300_HBT-1200_WR-195,30,300,0,0,0,0,0,0,0,21,1200,195,5.8,7,0,0,0,1.92E+03,4.07E+02,294.86,7.86E+04,5.87E+01,2.05E-01,2.16E-01,8.72E-02,4.91E-01,5.14E+01,4.88E+01,2.23E+01,1.83E+01,54.31481,2.49E+02,5.38E+02,1.52E+03,2.92E+01,2.09E+01,5.70E+01,8.26E+03
504,H2-30_PCI-0_WPI-0_NG-0_O2-21_NGT-0_H2T-600_HBT-1600_WR-195,30,600,0,0,0,0,0,0,0,21,1600,195,5.8,7,0,0,0,2.28E+03,4.07E+02,884.57,8.03E+04,5.88E+01,2.05E-01,2.15E-01,8.81E-02,4.92E-01,5.12E+01,4.86E+01,2.25E+01,1.90E+01,53.41845,2.49E+02,5.38E+02,1.52E+03,2.97E+01,2.08E+01,5.76E+01,8.25E+03
505,H2-30_PCI-0_WPI-0_NG-40_O2-27_NGT-300_H2T-0_HBT-1200_WR-230,30,0,40,300,0,0,0,0,0,27,1200,230,5.8,7,0,0,0,2.08E+03,4.11E+02,845.96,1.10E+05,5.89E+01,2.29E-01,2.41E-01,9.09E-02,4.39E-01,5.13E+01,5.06E+01,2.04E+01,1.60E+01,44.655999,3.24E+02,7.02E+02,2.07E+03,2.86E+01,2.05E+01,5.56E+01,1.08E+04
506,H2-0_PCI-0_WPI-0_NG-60_O2-27_NGT-300_H2T-0_HBT-1600_WR-160,0,0,60,300,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.42E+03,4.48E+02,1858.91,5.26E+04,5.90E+01,2.34E-01,2.45E-01,5.87E-02,4.62E-01,5.11E+01,4.66E+01,2.23E+01,1.14E+01,47.20646,1.83E+02,3.95E+02,1.07E+03,2.12E+01,1.30E+01,4.21E+01,6.06E+03
507,H2-50_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-1200_HBT-1600_WR-195,50,1200,0,0,0,0,0,0,0,27,1600,195,5.8,7,0,0,0,2.69E+03,4.04E+02,1213.69,8.05E+04,5.90E+01,2.27E-01,2.24E-01,1.28E-01,4.21E-01,4.97E+01,4.96E+01,8.74E+00,9.89E+00,55.604995,2.93E+02,6.34E+02,1.88E+03,3.68E+01,2.70E+01,6.30E+01,9.73E+03
508,H2-20_PCI-0_WPI-0_NG-50_O2-27_NGT-300_H2T-300_HBT-1480_WR-230,20,300,50,300,0,0,0,0,0,27,1480,230,5.8,7,0,0,0,2.32E+03,4.31E+02,1350.82,1.24E+05,5.90E+01,2.45E-01,2.31E-01,8.10E-02,4.42E-01,4.85E+01,4.76E+01,2.52E+01,1.69E+01,46.288992,3.05E+02,6.59E+02,1.92E+03,2.54E+01,1.77E+01,5.28E+01,1.01E+04
509,H2-0_PCI-90_WPI-0_NG-0_O2-27_NGT-300_H2T-0_HBT-1600_WR-195,0,0,0,300,90,0,0,0,0,27,1600,195,5.8,7,0,0,0,2.36E+03,4.36E+02,2053.67,9.29E+04,5.91E+01,2.42E-01,2.64E-01,2.39E-02,4.70E-01,5.22E+01,4.93E+01,3.28E+01,6.43E+00,54.252342,2.35E+02,5.09E+02,1.46E+03,8.90E+00,6.87E+00,2.68E+01,7.80E+03
510,H2-0_PCI-0_WPI-0_NG-41_O2-30_NGT-300_H2T-0_HBT-1480_WR-230,0,0,41,300,0,0,0,0,0,30,1480,230,5.8,7,0,0,0,2.71E+03,4.95E+02,2276.74,1.14E+05,5.92E+01,2.64E-01,2.60E-01,3.26E-02,4.44E-01,4.96E+01,4.90E+01,3.27E+01,8.16E+00,45.61977,2.78E+02,6.00E+02,1.76E+03,1.08E+01,9.19E+00,3.15E+01,9.21E+03
511,H2-10_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-300_HBT-1600_WR-195,10,300,100,300,0,0,0,0,0,21,1600,195,5.8,7,0,0,0,2.13E+03,3.30E+02,572.59,8.88E+04,5.92E+01,1.94E-01,2.30E-01,9.34E-02,4.83E-01,5.42E+01,5.14E+01,2.29E+01,2.11E+01,47.646067,2.76E+02,5.95E+02,1.72E+03,3.30E+01,2.03E+01,6.01E+01,9.15E+03
512,H2-30_PCI-0_WPI-0_NG-40_O2-24_NGT-300_H2T-300_HBT-1600_WR-230,30,300,40,300,0,0,0,0,0,24,1600,230,5.8,7,0,0,0,2.21E+03,3.91E+02,1051.11,1.20E+05,5.93E+01,2.11E-01,2.34E-01,9.16E-02,4.63E-01,5.25E+01,5.10E+01,2.17E+01,1.86E+01,45.518506,3.19E+02,6.88E+02,1.99E+03,3.09E+01,2.03E+01,5.72E+01,1.06E+04
513,H2-0_PCI-90_WPI-0_NG-60_O2-24_NGT-300_H2T-0_HBT-1480_WR-195,0,0,60,300,90,0,0,0,0,24,1480,195,5.8,7,0,0,0,2.31E+03,3.46E+02,1023.44,9.64E+04,5.93E+01,2.16E-01,2.52E-01,5.93E-02,4.72E-01,5.39E+01,5.02E+01,2.68E+01,1.43E+01,53.301432,2.65E+02,5.73E+02,1.66E+03,2.19E+01,1.34E+01,4.78E+01,8.79E+03
514,H2-0_PCI-40_WPI-0_NG-160_O2-21_NGT-300_H2T-0_HBT-1480_WR-195,0,0,160,300,40,0,0,0,0,21,1480,195,5.8,7,0,0,0,1.85E+03,2.74E+02,178.93,9.43E+04,5.93E+01,1.95E-01,2.32E-01,1.05E-01,4.68E-01,5.44E+01,5.18E+01,2.12E+01,2.33E+01,48.386344,3.02E+02,6.52E+02,1.89E+03,3.67E+01,2.19E+01,6.32E+01,1.00E+04
515,H2-0_PCI-41_WPI-0_NG-0_O2-27_NGT-300_H2T-0_HBT-1200_WR-160,0,0,0,300,41,0,0,0,0,27,1200,160,5.8,7,0,0,0,2.24E+03,5.05E+02,1515.41,6.20E+04,5.93E+01,2.71E-01,2.36E-01,2.02E-02,4.73E-01,4.66E+01,4.19E+01,3.15E+01,4.77E+00,66.05503,1.72E+02,3.71E+02,1.02E+03,6.59E+00,5.27E+00,2.05E+01,5.69E+03
516,H2-40_PCI-0_WPI-0_NG-0_O2-21_NGT-0_H2T-300_HBT-1600_WR-195,40,300,0,0,0,0,0,0,0,21,1600,195,5.8,7,0,0,0,2.12E+03,3.91E+02,546.98,8.19E+04,5.93E+01,2.03E-01,2.09E-01,1.10E-01,4.77E-01,5.08E+01,4.87E+01,1.83E+01,1.96E+01,53.78771,2.64E+02,5.70E+02,1.61E+03,3.51E+01,2.48E+01,6.23E+01,8.72E+03
517,H2-0_PCI-125_WPI-0_NG-0_O2-27_NGT-300_H2T-0_HBT-1200_WR-195,0,0,0,300,125,0,0,0,0,27,1200,195,5.8,7,0,0,0,2.16E+03,4.03E+02,1363.01,9.79E+04,5.96E+01,2.39E-01,2.67E-01,2.84E-02,4.66E-01,5.27E+01,5.05E+01,3.10E+01,7.68E+00,53.98292,2.47E+02,5.33E+02,1.55E+03,1.11E+01,7.89E+00,3.20E+01,8.17E+03
518,H2-0_PCI-70_WPI-0_NG-0_O2-30_NGT-300_H2T-0_HBT-1600_WR-195,0,0,0,300,70,0,0,0,0,30,1600,195,5.8,7,0,0,0,2.52E+03,4.90E+02,2435.98,9.05E+04,5.96E+01,2.73E-01,2.60E-01,2.17E-02,4.45E-01,4.88E+01,4.63E+01,3.21E+01,5.09E+00,55.333464,2.29E+02,4.94E+02,1.42E+03,7.17E+00,5.94E+00,2.27E+01,7.59E+03
519,H2-0_PCI-70_WPI-0_NG-0_O2-30_NGT-300_H2T-0_HBT-1200_WR-195,0,0,0,300,70,0,0,0,0,30,1200,195,5.8,7,0,0,0,2.34E+03,4.88E+02,1888.87,9.13E+04,5.97E+01,2.73E-01,2.59E-01,2.20E-02,4.46E-01,4.87E+01,4.59E+01,3.23E+01,5.06E+00,54.208865,2.29E+02,4.95E+02,1.42E+03,7.13E+00,5.95E+00,2.24E+01,7.59E+03
520,H2-0_PCI-0_WPI-0_NG-60_O2-30_NGT-300_H2T-0_HBT-1200_WR-160,0,0,60,300,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.28E+03,4.78E+02,1779.36,5.60E+04,5.97E+01,2.45E-01,2.53E-01,6.00E-02,4.41E-01,5.08E+01,4.48E+01,2.24E+01,1.13E+01,34.70269,1.79E+02,3.87E+02,1.07E+03,2.10E+01,1.21E+01,3.89E+01,5.93E+03
521,H2-10_PCI-0_WPI-0_NG-0_O2-24_NGT-0_H2T-1200_HBT-1600_WR-195,10,1200,0,0,0,0,0,0,0,24,1600,195,5.8,7,0,0,0,2.65E+03,4.74E+02,1896.59,8.06E+04,5.97E+01,2.27E-01,2.39E-01,3.76E-02,4.97E-01,5.12E+01,4.85E+01,3.16E+01,1.07E+01,52.855895,2.21E+02,4.77E+02,1.36E+03,1.44E+01,1.05E+01,3.72E+01,7.32E+03
522,H2-20_PCI-0_WPI-0_NG-50_O2-24_NGT-300_H2T-0_HBT-1200_WR-230,20,0,50,300,0,0,0,0,0,24,1200,230,5.8,7,0,0,0,2.02E+03,3.97E+02,724.85,1.15E+05,5.97E+01,2.13E-01,2.39E-01,7.77E-02,4.71E-01,5.29E+01,5.08E+01,2.39E+01,1.70E+01,47.345859,3.09E+02,6.67E+02,1.94E+03,2.68E+01,1.78E+01,5.36E+01,1.02E+04
523,H2-0_PCI-200_WPI-0_NG-0_O2-30_NGT-300_H2T-0_HBT-1600_WR-195,0,0,0,300,200,0,0,0,0,30,1600,195,5.8,7,0,0,0,2.34E+03,3.70E+02,1841.43,1.09E+05,5.97E+01,2.56E-01,2.75E-01,3.83E-02,4.30E-01,5.17E+01,5.03E+01,2.78E+01,8.73E+00,52.669561,2.70E+02,5.84E+02,1.71E+03,1.38E+01,9.33E+00,3.66E+01,8.97E+03
524,H2-10_PCI-0_WPI-0_NG-80_O2-27_NGT-300_H2T-300_HBT-1480_WR-230,10,300,80,300,0,0,0,0,0,27,1480,230,5.8,7,0,0,0,2.36E+03,4.05E+02,1376.25,1.18E+05,5.99E+01,2.31E-01,2.50E-01,7.16E-02,4.48E-01,5.19E+01,5.07E+01,2.47E+01,1.53E+01,43.945384,3.13E+02,6.77E+02,2.01E+03,2.42E+01,1.64E+01,5.13E+01,1.04E+04
525,H2-20_PCI-0_WPI-0_NG-50_O2-24_NGT-300_H2T-0_HBT-1480_WR-230,20,0,50,300,0,0,0,0,0,24,1480,230,5.8,7,0,0,0,2.19E+03,3.95E+02,1070.98,1.12E+05,6.00E+01,2.13E-01,2.38E-01,7.74E-02,4.71E-01,5.28E+01,5.09E+01,2.55E+01,1.82E+01,43.65751,3.10E+02,6.70E+02,1.97E+03,2.67E+01,1.80E+01,5.44E+01,1.03E+04
